area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056.0,2.0,1.0,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770.0,4.0,2.0,290.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800.0,5.0,2.0,380.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510.0,1.0,0.0,25.25
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,23.1
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025.0,2.0,1.0,47.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2475.0,4.0,0.0,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254.0,3.0,2.0,38.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79
